Ano Mes Dia H M S Dist(cm) Dist2(cm) T(°C) P(Pa)
2019 10 6 6 54 39 28.17 15.56 26.43 101592.88
2019 10 6 6 54 40 0.00 16.66 26.43 101593.34
2019 10 6 6 54 40 0.00 14.33 26.43 101593.93
2019 10 6 6 54 41 0.00 14.40 26.42 101595.53
2019 10 6 6 54 41 31.14 16.86 26.42 101596.16
2019 10 6 6 54 42 0.00 16.89 26.42 101596.75
2019 10 6 6 54 42 24.09 16.80 26.42 101597.61
2019 10 6 6 54 43 0.00 16.04 26.41 101598.31
2019 10 6 6 54 44 0.00 16.48 26.41 101598.91
2019 10 6 6 54 44 0.00 17.23 26.41 101599.88
2019 10 6 6 54 45 0.00 17.11 26.41 101600.29
2019 10 6 6 54 45 0.00 17.14 26.40 101600.72
2019 10 6 6 54 46 23.73 13.75 26.40 101601.17
2019 10 6 6 54 47 0.00 14.27 26.40 101602.05
2019 10 6 6 54 47 22.83 11.86 26.40 101602.55
2019 10 6 6 54 48 0.00 13.61 26.39 101602.81
2019 10 6 6 54 48 23.53 18.09 26.39 101603.17
2019 10 6 6 54 49 0.00 18.12 26.39 101603.86
2019 10 6 6 54 49 22.81 18.26 26.39 101604.11
2019 10 6 6 54 50 0.00 16.80 26.38 101603.83
2019 10 6 6 54 51 0.00 17.72 26.37 101604.08
2019 10 6 6 54 51 25.65 14.53 26.37 101604.16
2019 10 6 6 54 52 0.00 16.95 26.37 101605.13
2019 10 6 6 54 52 23.99 12.19 26.37 101605.55
2019 10 6 6 54 53 0.00 12.43 26.36 101605.80
2019 10 6 6 54 53 0.00 12.11 26.36 101606.17
Ano Mes Dia H M S Dist(cm) Dist2(cm) T(°C) P(Pa)
2019 10 6 6 54 55 16.41 16.74 26.35 101606.73
2019 10 6 6 54 56 21.76 17.45 26.35 101606.66
2019 10 6 6 54 56 0.00 17.72 26.34 101606.73
2019 10 6 6 54 57 22.51 13.21 26.34 101606.00
2019 10 6 6 54 57 22.61 18.23 26.34 101606.34
2019 10 6 6 54 58 0.00 18.44 26.33 101606.45
2019 10 6 6 54 59 15.96 17.30 26.33 101606.20
2019 10 6 6 54 59 17.43 13.05 26.33 101606.37
2019 10 6 6 55 0 17.12 19.19 26.33 101605.72
2019 10 6 6 55 0 0.00 19.07 26.33 101605.89
2019 10 6 6 55 1 0.00 13.81 26.32 101605.63
2019 10 6 6 55 1 0.00 14.12 26.32 101605.41
2019 10 6 6 55 2 5.36 14.71 26.32 101605.75
2019 10 6 6 55 3 0.00 18.96 26.32 101605.92
2019 10 6 6 55 3 7.74 17.45 26.32 101605.66
2019 10 6 6 55 4 0.00 22.74 26.32 101605.66
2019 10 6 6 55 4 5.81 23.47 26.32 101605.23
2019 10 6 6 55 5 0.00 22.10 26.32 101605.23
2019 10 6 6 55 5 4.90 21.40 26.32 101605.48
2019 10 6 6 55 6 0.00 25.23 26.32 101605.32
2019 10 6 6 55 7 5.87 26.35 26.32 101605.16
2019 10 6 6 55 7 0.00 25.85 26.32 101605.23
2019 10 6 6 55 8 5.36 27.18 26.32 101605.30
2019 10 6 6 55 8 8.04 27.34 26.33 101605.38
2019 10 6 6 55 9 7.12 27.42 26.33 101605.64
2019 10 6 6 55 9 5.51 26.87 26.33 101605.34
2019 10 6 6 55 10 4.61 27.66 26.33 101605.27
2019 10 6 6 55 10 5.51 26.87 26.34 101605.58
2019 10 6 6 55 11 5.20 19.75 26.34 101605.66
2019 10 6 6 55 12 5.25 29.38 26.34 101605.38
2019 10 6 6 55 12 5.25 29.65 26.35 101605.05
2019 10 6 6 55 13 5.25 30.13 26.35 101605.19
2019 10 6 6 55 13 4.56 26.80 26.36 101604.77
2019 10 6 6 55 14 4.56 16.45 26.36 101604.47
2019 10 6 6 55 14 4.10 17.42 26.36 101604.45
2019 10 6 6 55 15 4.00 19.27 26.37 101604.00
2019 10 6 6 55 15 4.69 30.03 26.38 101604.00
2019 10 6 6 55 16 4.69 28.93 26.38 101604.14
2019 10 6 6 55 16 5.17 27.42 26.39 101604.11
2019 10 6 6 55 17 4.86 17.42 26.39 101603.52
2019 10 6 6 55 18 4.66 29.29 26.39 101602.05
2019 10 6 6 55 18 6.15 33.07 26.39 101601.95
2019 10 6 6 55 19 6.48 22.52 26.40 101601.38
2019 10 6 6 55 19 8.53 15.53 26.40 101601.34
2019 10 6 6 55 20 7.43 11.86 26.41 101601.48
2019 10 6 6 55 20 7.82 14.71 26.41 101601.05
2019 10 6 6 55 21 10.35 15.61 26.42 101600.75
2019 10 6 6 55 21 7.17 18.16 26.43 101600.55
2019 10 6 6 55 22 7.28 14.67 26.43 101599.84
2019 10 6 6 55 23 7.67 13.87 26.43 101599.50
2019 10 6 6 55 23 7.06 22.74 26.44 101599.13
2019 10 6 6 55 24 6.72 23.24 26.45 101599.07
2019 10 6 6 55 24 5.75 21.75 26.45 101598.48
2019 10 6 6 55 25 5.80 16.63 26.46 101598.28
2019 10 6 6 55 25 5.80 24.83 26.46 101598.03
2019 10 6 6 55 26 5.66 24.89 26.46 101598.17
2019 10 6 6 55 26 6.77 21.16 26.47 101597.07
2019 10 6 6 55 27 0.00 16.34 26.47 101596.78
2019 10 6 6 55 28 12.67 16.23 26.47 101596.53
2019 10 6 6 55 28 0.00 15.98 26.47 101596.62
2019 10 6 6 55 29 14.52 15.04 26.48 101596.67
2019 10 6 6 55 29 0.00 16.92 26.48 101596.59
2019 10 6 6 55 30 12.60 16.42 26.48 101596.59
2019 10 6 6 55 30 0.00 16.34 26.48 101596.84
2019 10 6 6 55 31 12.67 16.74 26.48 101597.02
2019 10 6 6 55 32 0.00 16.54 26.48 101596.33
2019 10 6 6 55 32 13.21 16.42 26.48 101596.50
2019 10 6 6 55 33 22.78 17.14 26.48 101596.50
2019 10 6 6 55 33 66.30 20.43 26.48 101596.50
2019 10 6 6 55 34 65.08 28.93 26.48 101596.33
2019 10 6 6 55 34 66.54 37.84 26.47 101595.94
2019 10 6 6 55 35 67.47 61.41 26.47 101595.69
2019 10 6 6 55 35 67.68 59.86 26.47 101595.42
2019 10 6 6 55 36 68.12 75.05 26.47 101595.59
2019 10 6 6 55 37 67.32 31.32 26.46 101594.95
2019 10 6 6 55 37 67.27 31.32 26.46 101594.81
2019 10 6 6 55 38 67.13 34.90 26.46 101594.89
2019 10 6 6 55 38 67.73 34.40 26.45 101594.66
2019 10 6 6 55 39 67.12 35.83 26.45 101594.58
2019 10 6 6 55 39 66.88 35.03 26.45 101594.49
2019 10 6 6 55 40 67.68 34.03 26.44 101593.96
2019 10 6 6 55 40 67.29 21.26 26.44 101593.88
2019 10 6 6 55 41 67.32 30.32 26.44 101593.95
2019 10 6 6 55 42 8.64 30.51 26.43 101594.08
2019 10 6 6 55 42 66.11 49.78 26.43 101594.16
2019 10 6 6 55 43 8.87 51.68 26.43 101593.59
2019 10 6 6 55 43 11.19 42.61 26.43 101594.09
2019 10 6 6 55 44 8.18 58.38 26.42 101593.79
2019 10 6 6 55 44 10.64 62.63 26.42 101593.88
2019 10 6 6 55 45 76.79 60.62 26.41 101593.39
2019 10 6 6 55 45 77.61 62.63 26.41 101593.34
2019 10 6 6 55 46 77.40 62.63 26.40 101593.42
2019 10 6 6 55 47 77.42 62.63 26.40 101593.27
2019 10 6 6 55 47 78.78 51.68 26.40 101593.22
2019 10 6 6 55 48 79.32 59.86 26.39 101592.88
2019 10 6 6 55 48 16.81 52.25 26.38 101592.66
2019 10 6 6 55 49 6.87 29.11 26.38 101592.94
2019 10 6 6 55 49 31.91 22.36 26.38 101592.80
2019 10 6 6 55 50 29.36 19.79 26.37 101593.05
2019 10 6 6 55 51 32.39 20.26 26.37 101593.30
2019 10 6 6 55 51 8.86 25.16 26.37 101593.17
2019 10 6 6 55 52 29.17 22.26 26.36 101594.21
2019 10 6 6 55 52 29.48 22.91 26.36 101594.63
2019 10 6 6 55 53 30.79 24.26 26.36 101595.09
2019 10 6 6 55 53 30.40 25.23 26.35 101595.52
2019 10 6 6 55 54 30.74 25.92 26.35 101595.77
2019 10 6 6 55 54 30.33 24.38 26.35 101596.47
2019 10 6 6 55 55 31.04 24.44 26.34 101597.06
2019 10 6 6 55 56 31.60 25.71 26.34 101596.92
2019 10 6 6 55 56 31.81 26.20 26.34 101597.34
2019 10 6 6 55 57 31.86 24.26 26.33 101597.80
2019 10 6 6 55 57 32.16 27.50 26.33 101598.52
2019 10 6 6 55 58 32.06 25.71 26.32 101598.34
2019 10 6 6 55 58 32.22 26.28 26.32 101598.84
2019 10 6 6 55 59 32.45 27.18 26.32 101599.13
2019 10 6 6 55 59 32.67 27.42 26.32 101598.79
2019 10 6 6 56 0 38.28 31.96 26.31 101599.16
2019 10 6 6 56 1 58.89 44.20 26.31 101599.27
2019 10 6 6 56 1 53.40 41.30 26.31 101599.36
2019 10 6 6 56 2 61.80 33.54 26.30 101599.61
2019 10 6 6 56 2 79.61 37.84 26.30 101599.89
2019 10 6 6 56 3 78.69 36.66 26.30 101600.40
2019 10 6 6 56 3 0.00 38.45 26.29 101600.69
2019 10 6 6 56 4 61.88 38.45 26.29 101600.77
2019 10 6 6 56 4 63.72 37.69 26.29 101601.05
2019 10 6 6 56 5 61.90 44.20 26.28 101601.00
2019 10 6 6 56 6 62.24 55.31 26.28 101601.25
2019 10 6 6 56 6 75.74 71.10 26.28 101601.33
2019 10 6 6 56 7 75.53 40.25 26.27 101601.36
2019 10 6 6 56 7 75.94 40.42 26.27 101601.48
2019 10 6 6 56 8 75.04 52.54 26.26 101601.48
2019 10 6 6 56 8 75.19 56.97 26.26 101601.42
2019 10 6 6 56 9 75.17 59.11 26.26 101601.92
2019 10 6 6 56 9 75.40 65.22 26.26 101601.67
2019 10 6 6 56 10 74.92 41.12 26.26 101601.58
2019 10 6 6 56 11 74.95 38.45 26.25 101601.44
2019 10 6 6 56 11 75.28 39.74 26.25 101601.44
2019 10 6 6 56 12 75.79 40.25 26.25 101601.78
2019 10 6 6 56 12 75.50 68.53 26.25 101601.70
2019 10 6 6 56 13 75.33 43.39 26.25 101601.87
2019 10 6 6 56 13 55.83 37.09 26.25 101601.48
2019 10 6 6 56 14 79.02 32.73 26.25 101601.64
2019 10 6 6 56 14 81.28 31.96 26.25 101601.98
2019 10 6 6 56 15 78.56 32.85 26.25 101602.16
2019 10 6 6 56 16 60.37 29.75 26.24 101602.06
2019 10 6 6 56 16 80.82 29.47 26.24 101602.02
2019 10 6 6 56 17 77.15 30.51 26.24 101602.18
2019 10 6 6 56 17 82.72 33.07 26.24 101602.09
2019 10 6 6 56 18 77.67 36.10 26.24 101602.27
2019 10 6 6 56 18 64.74 33.66 26.24 101602.44
2019 10 6 6 56 19 87.31 35.43 26.23 101601.10
2019 10 6 6 56 20 63.00 37.39 26.23 101601.05
2019 10 6 6 56 20 0.00 35.83 26.23 101600.79
2019 10 6 6 56 21 68.90 33.78 26.22 101600.73
2019 10 6 6 56 21 89.01 34.40 26.22 101600.91
2019 10 6 6 56 22 74.38 32.62 26.22 101600.82
2019 10 6 6 56 22 217.43 34.03 26.22 101601.16
2019 10 6 6 56 23 82.99 31.32 26.22 101601.07
2019 10 6 6 56 23 62.41 49.52 26.22 101601.41
2019 10 6 6 56 24 82.94 32.73 26.22 101601.58
2019 10 6 6 56 25 0.00 23.02 26.21 101601.27
2019 10 6 6 56 25 6.49 24.19 26.21 101601.27
2019 10 6 6 56 26 8.77 23.89 26.21 101601.19
2019 10 6 6 56 26 0.00 22.69 26.21 101601.36
2019 10 6 6 56 27 7.38 21.07 26.21 101601.05
2019 10 6 6 56 27 13.80 20.75 26.21 101601.21
2019 10 6 6 56 28 17.99 17.17 26.20 101601.16
2019 10 6 6 56 29 62.24 28.49 26.20 101601.33
2019 10 6 6 56 29 73.20 33.90 26.20 101601.07
2019 10 6 6 56 30 46.60 43.99 26.20 101600.98
2019 10 6 6 56 30 41.65 48.26 26.20 101601.33
2019 10 6 6 56 31 0.00 56.97 26.20 101601.24
2019 10 6 6 56 31 4.28 42.99 26.20 101601.41
2019 10 6 6 56 32 0.00 22.80 26.20 101601.58
2019 10 6 6 56 32 9.66 39.91 26.19 101601.49
Ano Mes Dia H M S Dist(cm) Dist2(cm) T(°C) P(Pa)
2019 10 6 10 45 11 3.06 28.07 27.54 101661.75
2019 10 6 10 45 11 3.66 26.35 27.49 101654.91
2019 10 6 10 45 12 3.55 26.42 27.49 101655.67
2019 10 6 10 45 13 3.15 26.28 27.48 101656.30
2019 10 6 10 45 13 3.37 26.57 27.48 101657.23
2019 10 6 10 45 14 3.32 26.57 27.47 101658.37
2019 10 6 10 45 14 3.40 25.99 27.47 101659.17
2019 10 6 10 45 15 3.11 37.69 27.47 101659.76
2019 10 6 10 45 15 3.16 26.28 27.47 101660.19
2019 10 6 10 45 16 3.11 35.97 27.46 101661.66
2019 10 6 10 45 16 3.21 31.96 27.46 101661.91
2019 10 6 10 45 17 2.91 27.82 27.46 101662.42
2019 10 6 10 45 18 3.76 26.57 27.46 101662.67
2019 10 6 10 45 18 3.66 23.59 27.46 101662.97
2019 10 6 10 45 19 3.52 27.50 27.46 101664.33
2019 10 6 10 45 19 3.16 29.84 27.45 101664.24
2019 10 6 10 45 20 3.01 48.26 27.45 101664.92
2019 10 6 10 45 20 2.96 48.26 27.45 101665.03
2019 10 6 10 45 21 2.45 46.82 27.45 101665.38
2019 10 6 10 45 21 2.96 44.41 27.45 101665.80
2019 10 6 10 45 22 2.65 45.47 27.45 101666.14
2019 10 6 10 45 23 2.52 41.12 27.45 101665.72
2019 10 6 10 45 23 4.40 25.64 27.45 101666.23
2019 10 6 10 45 24 2.70 47.29 27.44 101666.68
2019 10 6 10 45 24 3.21 46.14 27.44 101666.59
2019 10 6 10 45 25 2.96 40.60 27.44 101666.94
Ano Mes Dia H M S Dist(cm) Dist2(cm) T(°C) P(Pa)
2019 10 6 11 1 8 115.77 242.12 34.61 101707.19
2019 10 6 11 1 9 116.55 214.66 34.49 101688.77
2019 10 6 11 1 9 122.01 68.53 34.49 101690.36
2019 10 6 11 1 10 118.95 -634.18 34.48 101691.88
2019 10 6 11 1 11 119.87 145.39 34.46 101694.26
2019 10 6 11 1 11 114.24 87.55 34.45 101695.22
2019 10 6 11 1 12 115.75 91.79 34.43 101696.61
2019 10 6 11 1 12 115.29 80.82 34.42 101697.70
2019 10 6 11 1 13 116.37 72.74 34.40 101698.75
2019 10 6 11 1 13 115.60 119.65 34.37 101701.25
2019 10 6 11 1 14 115.41 129.47 34.35 101702.25
2019 10 6 11 1 15 115.35 209.89 34.33 101703.27
2019 10 6 11 1 15 115.43 83.68 34.30 101703.88
2019 10 6 11 1 16 119.82 109.92 34.26 101706.20
2019 10 6 11 1 16 117.37 109.92 34.24 101707.22
2019 10 6 11 1 17 119.31 127.73 34.22 101707.88
2019 10 6 11 1 17 120.85 103.89 34.20 101708.55
2019 10 6 11 1 18 118.81 64.33 34.17 101710.56
2019 10 6 11 1 19 119.14 90.91 34.16 101711.30
2019 10 6 11 1 19 119.24 -634.18 34.14 101711.70
2019 10 6 11 1 20 121.23 143.19 34.12 101712.14
2019 10 6 11 1 20 123.22 91.79 34.10 101713.51
2019 10 6 11 1 21 125.68 -4928.13 34.09 101714.11
2019 10 6 11 1 21 121.60 304.44 34.08 101714.52
2019 10 6 11 1 22 122.16 -634.18 34.07 101715.38
2019 10 6 11 1 22 147.03 168.72 34.05 101716.91
2019 10 6 11 1 23 152.12 236.08 34.03 101717.91
2019 10 6 11 1 24 154.36 1862.60 34.00 101718.36
2019 10 6 11 1 24 156.30 154.91 33.98 101718.55
2019 10 6 11 1 25 156.89 -2413.78 33.92 101718.95
2019 10 6 11 1 25 154.28 -634.18 33.90 101719.14
2019 10 6 11 1 26 150.13 50.85 33.87 101719.20
2019 10 6 11 1 26 156.11 -634.18 33.86 101719.77
2019 10 6 11 1 27 150.74 -634.18 33.82 101719.67
2019 10 6 11 1 28 140.71 99.52 33.81 101720.51
2019 10 6 11 1 28 112.90 -1060.76 33.80 101720.86
2019 10 6 11 1 29 118.01 -953.83 33.79 101721.21
2019 10 6 11 1 29 111.81 81.51 33.76 101721.45
2019 10 6 11 1 30 110.11 136.97 33.75 101722.22
2019 10 6 11 1 30 111.96 181.68 33.74 101722.62
2019 10 6 11 1 31 117.10 99.52 33.74 101723.18
2019 10 6 11 1 32 114.63 121.18 33.73 101723.70
2019 10 6 11 1 32 109.77 80.13 33.74 101724.30
2019 10 6 11 1 33 110.45 121.18 33.74 101724.59
2019 10 6 11 1 33 113.19 -679.74 33.75 101724.63
2019 10 6 11 1 34 119.90 85.96 33.77 101725.09
2019 10 6 11 1 34 153.22 60.62 33.78 101725.42
2019 10 6 11 1 35 154.43 99.52 33.79 101725.75
2019 10 6 11 1 36 155.72 -634.18 33.80 101725.49
2019 10 6 11 1 36 157.40 1862.60 33.79 101725.41
2019 10 6 11 1 37 156.49 -679.74 33.79 101725.88
2019 10 6 11 1 37 154.87 -634.18 33.79 101725.97
2019 10 6 11 1 38 153.88 -4928.13 33.79 101726.27
2019 10 6 11 1 38 154.28 -866.48 33.81 101725.22
2019 10 6 11 1 39 154.19 -634.18 33.83 101724.69
2019 10 6 11 1 40 150.30 -634.18 33.85 101724.12
2019 10 6 11 1 40 146.20 -634.18 33.86 101723.50
2019 10 6 11 1 41 142.04 -634.18 33.89 101722.66
2019 10 6 11 1 41 141.19 -634.18 33.91 101722.17
2019 10 6 11 1 42 138.57 -634.18 33.93 101721.34
2019 10 6 11 1 42 133.06 -679.74 33.95 101720.68
2019 10 6 11 1 43 131.07 -634.18 33.99 101719.58
2019 10 6 11 1 43 127.62 -634.18 34.01 101719.59
2019 10 6 11 1 44 122.77 -559.22 34.03 101719.19
2019 10 6 11 1 45 120.68 -634.18 34.06 101719.42
2019 10 6 11 1 45 113.93 -634.18 34.11 101718.43
2019 10 6 11 1 46 106.34 -679.74 34.14 101717.97
2019 10 6 11 1 46 98.01 -634.18 34.17 101718.08
2019 10 6 11 1 47 91.31 -634.18 34.20 101718.47
2019 10 6 11 1 47 82.88 -732.35 34.25 101718.29
2019 10 6 11 1 48 77.96 -1367.34 34.28 101718.25
2019 10 6 11 1 49 71.49 349.41 34.32 101718.47
2019 10 6 11 1 49 65.72 154.91 34.35 101718.48
2019 10 6 11 1 50 58.89 79.46 34.40 101718.86
