Ano;Mes;Dia;H;M;S;Dist(cm);Dist2(cm);T(°C);P(Pa)
2019;10;6;10;45;11;3.06;28.07;27.54;101661.75
2019;10;6;10;45;11;3.66;26.35;27.49;101654.91
2019;10;6;10;45;12;3.55;26.42;27.49;101655.67
2019;10;6;10;45;13;3.15;26.28;27.48;101656.30
2019;10;6;10;45;13;3.37;26.57;27.48;101657.23
2019;10;6;10;45;14;3.32;26.57;27.47;101658.37
2019;10;6;10;45;14;3.40;25.99;27.47;101659.17
2019;10;6;10;45;15;3.11;37.69;27.47;101659.76
2019;10;6;10;45;15;3.16;26.28;27.47;101660.19
2019;10;6;10;45;16;3.11;35.97;27.46;101661.66
2019;10;6;10;45;16;3.21;31.96;27.46;101661.91
2019;10;6;10;45;17;2.91;27.82;27.46;101662.42
2019;10;6;10;45;18;3.76;26.57;27.46;101662.67
2019;10;6;10;45;18;3.66;23.59;27.46;101662.97
2019;10;6;10;45;19;3.52;27.50;27.46;101664.33
2019;10;6;10;45;19;3.16;29.84;27.45;101664.24
2019;10;6;10;45;20;3.01;48.26;27.45;101664.92
2019;10;6;10;45;20;2.96;48.26;27.45;101665.03
2019;10;6;10;45;21;2.45;46.82;27.45;101665.38
2019;10;6;10;45;21;2.96;44.41;27.45;101665.80
2019;10;6;10;45;22;2.65;45.47;27.45;101666.14
2019;10;6;10;45;23;2.52;41.12;27.45;101665.72
2019;10;6;10;45;23;4.40;25.64;27.45;101666.23
2019;10;6;10;45;24;2.70;47.29;27.44;101666.68
2019;10;6;10;45;24;3.21;46.14;27.44;101666.59
2019;10;6;10;45;25;2.96;40.60;27.44;101666.94
